year,venue,classical,trending,ethics
2000,ICRA,1,0,0
1987,ICRA,1,0,0
2002,ICRA,1,0,0
2017,ICRA,0,0,0
2002,ICRA,0,0,0
2014,ICRA,1,0,0
2013,ICRA,0,0,0
2009,ICRA,0,1,0
1987,ICRA,0,0,0
2014,ICRA,1,0,0
1991,ICRA,1,0,0
1993,ICRA,1,1,0
2006,ICRA,0,0,0
2009,ICRA,0,0,0
2008,ICRA,0,1,0
1988,ICRA,1,0,0
2012,ICRA,1,0,0
2010,ICRA,1,1,0
2001,ICRA,1,0,0
1998,ICRA,1,0,0
1997,ICRA,1,0,0
2004,ICRA,1,0,0
1999,ICRA,0,0,0
2001,ICRA,1,0,0
2013,ICRA,0,0,0
2013,ICRA,0,0,0
2006,ICRA,0,0,0
2000,ICRA,0,0,0
2010,ICRA,0,0,0
2006,ICRA,1,1,0
2006,ICRA,0,0,0
2014,ICRA,0,1,0
2003,ICRA,0,0,0
2003,ICRA,1,0,0
1998,ICRA,0,0,0
2000,ICRA,1,0,0
1999,ICRA,1,0,0
2013,ICRA,1,0,0
1993,ICRA,0,0,0
2005,ICRA,0,0,0
2000,ICRA,0,0,0
1998,ICRA,1,0,0
2005,ICRA,1,0,0
2010,ICRA,0,0,0
2007,ICRA,1,0,0
2004,ICRA,0,0,0
1995,ICRA,1,0,0
1989,ICRA,1,0,0
1989,ICRA,0,0,0
2008,ICRA,0,0,0
2018,ICRA,0,0,0
2001,ICRA,0,1,0
2002,ICRA,1,0,0
1989,ICRA,1,0,0
2003,ICRA,0,0,0
1994,ICRA,1,0,0
1995,ICRA,1,0,0
1996,ICRA,0,0,0
2014,ICRA,0,0,0
2017,ICRA,1,0,0
2014,ICRA,1,0,0
1992,ICRA,0,0,0
2011,ICRA,1,0,0
2005,ICRA,1,0,0
2012,ICRA,1,0,0
2018,ICRA,0,1,0
2016,ICRA,1,1,0
1997,ICRA,0,0,0
2015,ICRA,0,0,0
2004,ICRA,0,0,0
2018,ICRA,1,0,0
1992,ICRA,1,0,0
2014,ICRA,1,0,0
1996,ICRA,1,0,0
2002,ICRA,0,1,0
2001,ICRA,0,0,0
1992,ICRA,0,0,0
1998,ICRA,1,0,0
2012,ICRA,1,0,0
2000,ICRA,1,0,0
2008,ICRA,1,0,0
2003,ICRA,1,0,0
